,MeanWaitingTime,CustomerCount,Servers,Rho,Method
187,0.00179305301972272,500,1,0.01,FIFO
188,0.002374595983328618,500,1,0.01,FIFO
189,0.005422687976819361,500,1,0.01,FIFO
190,0.008545551361850812,500,1,0.01,FIFO
191,0.009544351648705287,500,1,0.01,FIFO
192,0.007115214303873017,500,1,0.01,FIFO
193,0.005186759304998532,500,1,0.01,FIFO
194,0.0038354918184786584,500,1,0.01,FIFO
195,0.0016231388110118131,500,1,0.01,FIFO
196,0.005608170328707587,500,1,0.01,FIFO
197,0.0021853079475249613,500,1,0.01,FIFO
198,0.003099989677785402,500,1,0.01,FIFO
199,0.00551943548384952,500,1,0.01,FIFO
200,0.0,500,2,0.01,FIFO
201,0.0004358287332124746,500,2,0.01,FIFO
202,0.0,500,2,0.01,FIFO
203,0.0,500,2,0.01,FIFO
204,0.0,500,2,0.01,FIFO
205,0.0,500,2,0.01,FIFO
206,0.0,500,2,0.01,FIFO
207,0.0,500,2,0.01,FIFO
208,0.0,500,2,0.01,FIFO
209,0.0,500,2,0.01,FIFO
210,0.0,500,2,0.01,FIFO
211,0.0,500,2,0.01,FIFO
212,0.0,500,2,0.01,FIFO
213,0.0,500,2,0.01,FIFO
214,0.00021663677473407006,500,2,0.01,FIFO
215,0.0,500,2,0.01,FIFO
216,0.00021268026336679214,500,2,0.01,FIFO
217,0.0,500,2,0.01,FIFO
218,0.0,500,2,0.01,FIFO
219,0.0,500,2,0.01,FIFO
220,0.00026058192498021527,500,2,0.01,FIFO
221,0.0,500,2,0.01,FIFO
222,0.0,500,2,0.01,FIFO
223,0.0,500,2,0.01,FIFO
224,0.0,500,2,0.01,FIFO
225,0.0,500,2,0.01,FIFO
226,0.0,500,2,0.01,FIFO
227,0.0,500,2,0.01,FIFO
228,0.0,500,2,0.01,FIFO
229,0.0,500,2,0.01,FIFO
230,0.0,500,2,0.01,FIFO
231,0.0,500,2,0.01,FIFO
232,0.0,500,2,0.01,FIFO
233,0.0010198310352807312,500,2,0.01,FIFO
234,0.0,500,2,0.01,FIFO
235,0.0,500,2,0.01,FIFO
236,0.0,500,2,0.01,FIFO
237,0.0,500,2,0.01,FIFO
238,0.0,500,2,0.01,FIFO
239,0.0,500,2,0.01,FIFO
240,0.0,500,2,0.01,FIFO
241,0.0,500,2,0.01,FIFO
242,0.0,500,2,0.01,FIFO
243,0.0,500,2,0.01,FIFO
244,0.0,500,2,0.01,FIFO
245,0.0,500,2,0.01,FIFO
246,0.0,500,2,0.01,FIFO
247,0.0,500,2,0.01,FIFO
248,0.001744541662515985,500,2,0.01,FIFO
249,0.0,500,2,0.01,FIFO
250,0.0,500,4,0.01,FIFO
251,0.0,500,4,0.01,FIFO
252,0.0,500,4,0.01,FIFO
253,0.0,500,4,0.01,FIFO
254,0.0,500,4,0.01,FIFO
255,0.0,500,4,0.01,FIFO
256,0.0,500,4,0.01,FIFO
257,0.0,500,4,0.01,FIFO
258,0.0,500,4,0.01,FIFO
259,0.0,500,4,0.01,FIFO
260,0.0,500,4,0.01,FIFO
261,0.0,500,4,0.01,FIFO
262,0.0,500,4,0.01,FIFO
263,0.0,500,4,0.01,FIFO
264,0.0,500,4,0.01,FIFO
265,0.0,500,4,0.01,FIFO
266,0.0,500,4,0.01,FIFO
267,0.0,500,4,0.01,FIFO
268,0.0,500,4,0.01,FIFO
269,0.0,500,4,0.01,FIFO
270,0.0,500,4,0.01,FIFO
271,0.0,500,4,0.01,FIFO
272,0.0,500,4,0.01,FIFO
273,0.0,500,4,0.01,FIFO
274,0.0,500,4,0.01,FIFO
275,0.0,500,4,0.01,FIFO
276,0.0,500,4,0.01,FIFO
277,0.0,500,4,0.01,FIFO
278,0.0,500,4,0.01,FIFO
279,0.0,500,4,0.01,FIFO
280,0.0,500,4,0.01,FIFO
281,0.0,500,4,0.01,FIFO
282,0.0,500,4,0.01,FIFO
283,0.0,500,4,0.01,FIFO
284,0.0,500,4,0.01,FIFO
285,0.0,500,4,0.01,FIFO
286,0.0,500,4,0.01,FIFO
287,0.0,500,4,0.01,FIFO
288,0.0,500,4,0.01,FIFO
289,0.0,500,4,0.01,FIFO
290,0.0,500,4,0.01,FIFO
291,0.0,500,4,0.01,FIFO
292,0.0,500,4,0.01,FIFO
293,0.0,500,4,0.01,FIFO
294,0.0,500,4,0.01,FIFO
295,0.0,500,4,0.01,FIFO
296,0.0,500,4,0.01,FIFO
297,0.0,500,4,0.01,FIFO
298,0.0,500,4,0.01,FIFO
299,0.0,500,4,0.01,FIFO
300,0.008114307653013611,500,1,0.02,prior
301,0.0068597912885006735,500,1,0.02,prior
302,0.008660577234360176,500,1,0.02,prior
303,0.006976737263053564,500,1,0.02,prior
304,0.006643176437882176,500,1,0.02,prior
305,0.009604773785215003,500,1,0.02,prior
306,0.003007220043837151,500,1,0.02,prior
307,0.008439122240442885,500,1,0.02,prior
308,0.009773804380248748,500,1,0.02,prior
309,0.006581227885188127,500,1,0.02,prior
310,0.00770791554550442,500,1,0.02,prior
311,0.0020128285956843685,500,1,0.02,prior
312,0.00919432387865902,500,1,0.02,prior
313,0.01885283798390873,500,1,0.02,prior
314,0.009106349774580849,500,1,0.02,prior
315,0.01225813904177312,500,1,0.02,prior
316,0.0029681552857873613,500,1,0.02,prior
317,0.008319049777963756,500,1,0.02,prior
318,0.014428869782358703,500,1,0.02,prior
319,0.008345311564586837,500,1,0.02,prior
320,0.007460087019291223,500,1,0.02,prior
321,0.007264220989261503,500,1,0.02,prior
